Fname,Lname,Goals Scored,Assists,Total Points,Minutes,Goals Conceded,Clean Sheets
Aaron,Wan-Bissaka,0,0,15,627,10,2
Jaroslaw,Jach,0,0,0,0,0,0
Erdal,Rakip,0,0,0,0,0,0
Alexander,Sørloth,0,0,8,360,9,0
Nya,Kirby,0,0,0,0,0,0
Diego,Cavalieri,0,0,0,0,0,0
James,Daly,0,0,0,0,0,0
Theo,Walcott,3,3,62,1214,17,4
Jordan,Pickford,0,0,145,3420,58,10
Joel,Robles,0,0,0,0,0,0
Maarten,Stekelenburg,0,0,0,0,0,0
Leighton,Baines,2,3,82,1909,34,5
Seamus,Coleman,0,1,39,1035,12,4
Phil,Jagielka,0,0,60,2063,39,6
Matthew,Pennington,0,0,0,0,0,0
Ramiro,Funes Mori,0,0,3,119,2,0
Ashley,Williams,1,0,56,1830,31,5
Mason,Holgate,0,0,37,1183,14,4
Jonjoe,Kenny,0,2,50,1589,31,5
Michael,Keane,0,1,81,2559,46,7
Yannick,Bolasie,1,1,35,848,14,3
Kevin,Mirallas,0,0,5,135,8,0
James,McCarthy,0,0,6,204,6,0
Muhamed,Besic,0,0,2,46,0,0
Morgan,Schneiderlin,0,0,52,2124,38,6
Idrissa,Gueye,2,2,87,2749,45,9
Tom,Davies,2,2,66,1892,24,6
Ademola,Lookman,0,1,10,153,6,0
Davy,Klaassen,0,0,7,248,6,0
Dominic,Calvert-Lewin,4,8,88,1871,28,6
Sandro,Ramírez,0,0,10,275,7,1
Wayne,Rooney,10,3,113,2265,33,7
Gylfi,Sigurdsson,4,4,96,2257,40,6
Cuco,Martina,0,2,55,1830,30,5
Eliaquim,Mangala,0,0,22,617,7,2
Nikola,Vlasic,0,0,18,572,12,1
Oumar,Niasse,8,3,83,1076,23,0
Beni,Baningime,0,0,7,192,2,0
Cenk,Tosun,5,0,55,984,13,4
Luke,Garbutt,0,0,0,0,0,0
Joel,Coleman,0,0,0,0,0,0
Jonas,Lössl,0,1,135,3420,58,10
Christopher,Schindler,0,2,102,3264,53,9
Chris,Löwe,0,0,60,1585,26,7
Tommy,Smith,0,1,50,1902,31,5
Michael,Hefele,0,0,1,32,1,0
Martin,Cranie,0,0,2,179,7,0
Jon Gorenc,Stankovic,0,0,0,0,0,0
Mark,Hudson,0,0,0,0,0,0
Mathias,Jorgensen,0,3,107,3420,58,10
Aaron,Mooy,4,3,113,3066,52,10
Rajiv,van La Parra,3,0,74,2131,36,6
Jonathan,Hogg,0,0,53,2396,40,7
Philip,Billing,0,0,22,755,11,3
Joe,Lolley,1,0,11,217,5,0
Jack,Payne,0,0,0,0,0,0
Dean,Whitehead,0,0,4,68,3,0
Harry,Bunn,0,0,0,0,0,0
Sean,Scannell,0,0,0,0,0,0
Elias,Kachunga,1,1,46,1327,23,6
Tom,Ince,2,1,82,2450,39,7
Danny,Williams,0,0,28,1115,22,0
Collin,Quaner,0,4,44,1268,23,3
Laurent,Depoitre,6,2,94,1807,34,4
Steve,Mounie,7,2,92,1849,32,6
Scott,Malone,0,1,41,1110,23,3
Florent,Hadergjonaj,0,1,51,1670,28,4
Abdelhamid,Sabiri,0,1,10,217,5,1
Robert,Green,0,0,0,0,0,0
Terence,Kongolo,0,0,30,1047,14,2
Alex,Pritchard,1,2,40,997,12,3
Kasper,Schmeichel,0,0,123,2965,47,8
Ben,Hamer,0,0,9,274,7,1
Wes,Morgan,0,0,61,2817,52,5
Christian,Fuchs,0,1,57,1917,35,4
Danny,Simpson,0,0,55,2306,41,5
Robert,Huth,0,0,0,0,0,0
Yohan,Benalouane,0,0,1,90,2,0
Benjamin,Chilwell,0,2,65,1848,30,6
Harry,Maguire,2,4,117,3420,60,9
Riyad,Mahrez,12,13,195,2948,51,9
Marc,Albrighton,2,8,107,2533,42,8
Demarai,Gray,3,3,80,1683,35,4
Daniel,Amartey,0,0,13,486,7,3
Nampalys,Mendy,0,0,0,0,0,0
Wilfred,Ndidi,0,4,78,2896,45,9
Ahmed,Musa,0,0,0,0,0,0
Vicente,Iborra,3,0,58,1411,23,3
Jamie,Vardy,20,2,183,3248,57,8
Shinji,Okazaki,6,3,76,1314,19,5
Kelechi,Iheanacho,3,4,54,818,17,1
Eldin,Jakupovic,0,0,4,180,6,0
